pjX｜学習項目一覧（到達レベル付き）							
							
No	ジャンル	レベル	到達レベル	項目	概要・内容	優先度	備考
1	ビジネス	レベル0	L1｜現場に出せる	語彙	物事に正しい言葉をあてられる。考えをまとめる土台		
2	ビジネス	レベル0	L1｜現場に出せる	文法	主語と述語の対応、かかり方、つなぎ方を正しく扱える		
3	ビジネス	レベル0	L1｜現場に出せる	文章構成	結論を先に、1文に1つの内容、筋の通った流れ		
4	ビジネス	レベル0	L1｜現場に出せる	読解	書いてあること／書いていないことを正確に読む		
5	ビジネス	レベル1	L1｜現場に出せる	論点思考	解くべき問いを見極める		
6	ビジネス	レベル1	L1｜現場に出せる	仮説思考	見当をつけて、検証で確かめる		
7	ビジネス	レベル1	L1｜現場に出せる	構造化（MECE）	漏れもダブりもなく分ける		
8	ビジネス	レベル1	L1｜現場に出せる	事実と解釈を分ける	見た事実と、自分の推測・評価・意見を混ぜない		
9	ビジネス	レベル1	L1｜現場に出せる	事実・数字で語る	印象でなく、数字で語る		
10	ビジネス	レベル1	L1｜現場に出せる	フレームワーク運用	枠組み（フレームワーク）を成果物の型として使う		
11	ビジネス	レベル2	L1｜現場に出せる	ヒアリング／傾聴	発言の裏にある本当の要望を引き出す		
12	ビジネス	レベル2	L1｜現場に出せる	質問力	話を前に進める問いを立てる		
13	ビジネス	レベル2	L1｜現場に出せる	信頼関係づくり	本音を引き出せる関係をつくる		
14	ビジネス	レベル2	L2｜中堅コンサル	関係者マネジメント	重要人物と反対しそうな人を把握し、合意までの道筋を考える		
15	ビジネス	レベル2	L2｜中堅コンサル	ファシリテーション	意見を広げ、まとめ、会議を結論まで運ぶ		
16	ビジネス	レベル2	L1｜現場に出せる	期待値調整	できること・できないこと・前提をすり合わせる		
17	ビジネス	レベル3	L1｜現場に出せる	議事録	決定事項・宿題・論点を残す。事実と解釈を分けて記録		
18	ビジネス	レベル3	L1｜現場に出せる	資料作成（スライド）	1枚に1メッセージ、結論を先に		
19	ビジネス	レベル3	L1｜現場に出せる	文章作成	簡潔で誤解のない日本語（メール・チャット含む）		
20	ビジネス	レベル3	L1｜現場に出せる	プレゼン	相手の理解度に合わせて伝え直す		
21	ビジネス	レベル4	L2｜中堅コンサル	プロジェクト管理	作業分解（WBS）、進捗、課題・リスクの管理		
22	ビジネス	レベル4	L1｜現場に出せる	タスク・論点の管理	未解決の論点を常に把握する		
23	ビジネス	レベル4	L2｜中堅コンサル	工数見積	規模を見積もり、品質を保証する	△	必須化は検討中（保留）
24	ビジネス	レベル4	L1｜現場に出せる	素早いたたき台	完璧より、まず素早くたたき台を出す		
25	ビジネス	レベル5	L2｜中堅コンサル	業界・業務の理解	事業のしくみ、お金や商品の流れ、重要指標（KPI）		
26	ビジネス	レベル5	L2｜中堅コンサル	投資の感覚	投資対効果（ROI）で語り、経営層と話せる		
27	ビジネス	レベル5	L2｜中堅コンサル	理念・戦略への接続	打ち手を会社の戦略・理念に結びつける		
