pjX｜学習項目詳細（学び方）											
											
No	ジャンル	到達 レベル	項目	学習目標	学習ステップ（順番）	教材（読む／見る）	演習（やってみる・問題数）	合格基準	想定学習 時間(h)	評価方法	備考
1	ビジネス	L1	語彙	ビジネス頻出語・抽象/具体の言い換えができ、曖昧語を具体語に置き換えられる	①頻出語・敬語/言い換えを学ぶ → ②抽象⇄具体の往復 → ③曖昧語(これ/やつ/いい感じ/ちゃんと等)を具体語に直す → ④類語の使い分け → ⑤自分の文章から曖昧語を狩る	言い換え・類語辞典、ビジネス頻出語リスト、曖昧語を含む悪文例集	曖昧文の具体化10〜15文／類語の使い分け10問／過去メールから曖昧語を抽出し修正3通				
2	ビジネス	L1	文法	主述の対応・修飾の係り先・接続を正しく扱い、一文一義で書ける	①主述のねじれ → ②修飾語の係り先・使いすぎ → ③接続詞の使い分け → ④一文一義 → ⑤意味段落 → ⑥悪文を添削して直す	日本語文法・悪文添削の解説書、ねじれ文/長文の悪例集、接続詞一覧	ねじれ文の修正15文／長文を一文一義に分解10題／接続詞の穴埋め10問				
3	ビジネス	L1	文章構成	結論先出し(PREP/SDS)で、論理の通った段落・文章を組める	①結論先出しの意義 → ②PREP/SDSの型 → ③箇条書き→段落化 → ④根拠→主張の接続を点検 → ⑤だらだら文を再構成	文章構成(PREP/SDS)の解説、良い構成のサンプル	箇条書きから結論先出しの段落を5本／だらだら文を再構成5題				
4	ビジネス	L1	読解	事実・主張・根拠を読み分け、書いていない前提や抜けを指摘し要約できる	①事実/主張/根拠を線引き → ②主張と根拠の対応を点検 → ③前提・抜け・飛躍を指摘 → ④要点を要約	説明文・仕様/契約文、クリティカルリーディングの解説	論点・前提・抜けの抽出5題／要点を3行要約5題				
5	ビジネス	L1	論点思考	与件から「解くべき問い」を立て、筋の良し悪しを判断できる	①問いと作業の違い → ②良い論点の条件(解けて・効く) → ③与件から論点を立てる例 → ④自分で立てる → ⑤筋の良さを点検・修正	論点思考の解説、ケースの論点設定例	状況文から論点を立てる5ケース／悪い論点を良い論点に直す5題				
6	ビジネス	L1	仮説思考	早めに仮説を立て、確かめる手順まで設計できる	①仮説→検証の流れ → ②仮説の立て方(So what/Why) → ③検証手順の設計 → ④結果で仮説を更新	仮説思考の解説、検証設計の例	課題ごとに仮説3つ＋検証方法を書く5題				
7	ビジネス	L1	構造化（MECE）	MECEに分解しロジックツリーで整理でき、漏れ/ダブりを点検できる	①MECEとは → ②切り口(時系列/対象/要素) → ③ロジックツリー → ④漏れ/ダブり点検 → ⑤分解を成果物に	MECE/ロジックツリーの解説、良い分解例	テーマをMECE分解しツリー化5題／崩れた分解を直す5題				
8	ビジネス	L1	事実と解釈を分ける	文章中の事実/解釈/意見を仕分け、報告で混同しない	①事実/解釈/意見の定義 → ②混在文を分類 → ③解釈に根拠を添える → ④自分の報告を仕分け	事実と意見の区別の解説、混在文章例	各文をラベル付け10題／自分の報告文を仕分け・修正3通				
9	ビジネス	L1	事実・数字で語る	定性表現を定量化し、数字で主張を支えられる	①定性→定量に直す → ②比較の基準(率/差/推移) → ③数字の見せ方 → ④主張に数字を添える	定量化・数字の使い方の解説	定性表現を数字に置き換え10文／主張に根拠数字を添える5題				
10	ビジネス	L1	フレームワーク運用	目的に合う型(表/マトリクス/プロセス図)を選び、情報を成果物に整理できる	①代表的な型を学ぶ → ②型の選び方(目的に合わせる) → ③情報を型に当てる → ④過剰な型当てを避ける	整理フレームの一覧と例、型に整理した成果物	散らかった情報を適切な型で整理5題／型の選択理由を書く				
11	ビジネス	L1	ヒアリング／傾聴	傾聴と深掘りで、言葉の裏の本当の要望を引き出し記録できる	①傾聴の姿勢 → ②オープン/深掘り質問 → ③Why/具体化で掘る → ④要約して確認 → ⑤記録に起こす	ヒアリング/傾聴の解説、良いヒアリング記録のサンプル	模擬ヒアリングを3ケース実施し、要望整理に書き起こす				
12	ビジネス	L1	質問力	状況に応じた質問を設計し、話を前に進められる	①質問の種類(開/閉/深掘り) → ②良い/悪い質問の比較 → ③論点を進める質問を作る → ④誘導/詰問を避ける	質問技法の解説	状況ごとに質問リスト(各5問)を3ケース作る				
13	ビジネス	L1	信頼関係づくり	早期に信頼を作り、本音を引き出せる関係に持っていける	①信頼の要素(誠実/共感/有能/一貫) → ②初対面の入り方 → ③相手に合わせる → ④約束を守る運用	信頼構築・対人の解説、良い/悪い対応例	初回面談の台本を作りロールプレイ3回				
14	ビジネス	L2	関係者マネジメント	関係者と意思決定者を把握し、合意までの段取りを設計できる	①ステークホルダー分析(影響度/関心度) → ②関係者マップ → ③キーパーソン/抵抗勢力の見極め → ④合意の順序を設計 → ⑤根回しの段取り	ステークホルダー分析の解説、関係者マップの例	ケースの関係者をマップ化し合意計画を作る3ケース				
