pjX｜論点・懸念一覧				
				
No	論点	背景・くわしく	今のところの方向性	状況
1	価格競争のリスク	資金力のある会社のFDEモデルを、フリーランス市場にそのまま持ち込むと、値下げ競争に巻き込まれる。	職種名にこだわらず、コンサルの力を育てることに集中。事業として成り立たせる答えはまだ未確定。	未決
2	立ち位置・呼び名	FDEやDXコンサルなど、育てる人材の呼び名が定まっていない。	名前にこだわらない方針だが、外向けの呼び名は未決。	未決
3	工数見積を必須にするか	見積りは難しく、AIの活用やPMの話とも絡む。必須にするか議論中。	細かい見積りより、まず「信頼を得ること」「開発の進め方（ウォーターフォール／アジャイル）を選べること」を優先。いったん保留。	仮決
4	育てる対象の最低ライン	育てるのが難しい人を見分ける最低ラインを、具体的に決めるのが宿題。	入学時に絞らず、教育の中で身につけてもらう。年齢より、これまでの職歴を見て判断。	宿題
5	DDDの扱い	保守のしやすさやAIとの相性の観点で学ぶか。完全な実装まで求めるかで意見が分かれる。	考え方と背景を教える方向で合意（完全な実装までは不要）。	仮合意
6	採用条件の年齢制限	「40歳以下」を採用条件にする。	求人で年齢を明記するのは原則禁止（労働施策総合推進法）。社内の選考基準としての使い方と、外向けの表現は法務確認が必要。	要確認
7	コースを1本にするか分けるか	受講者のスタート地点にばらつきがある。	L0は全員共通（最初の必修単元）。その先でコースを分ける方向。	仮決
8	卒業時の到達水準	「ベイカレント級」をどこに置くか。	キャリアの最終段階（PM）の手前に置く。卒業時点では、現場に出せる状態まで。	仮合意
9	ビジネス力の維持	案件に入ると開発に没頭し、コンサルの力（他校との違いの核）が伸び悩むリスク。	教育ではなく運用の問題。毎日の指導・交流会・上流に関わる案件選びで、力を使い続けてもらう。	検討中
10	エンジニアのレベル定義	技術項目のレベル付けがまだ決まっていない。	このファイルでは仮置き。学ぶ順番や必要性の評価とあわせて、あとで整える。	未決
11	学習時間の積み上げ	コースを決めるため、項目ごとに必要時間を積み上げる。	ゴールは固定し、スタート地点（受講者のタイプ）を変数に。L0から着手。	未着手
12	案件確保のしくみ	育てて終わりにせず、自社で開拓した案件に送り出す。	方向性は共有済み。具体的なしくみは未定。	検討中
13	毎日続ける指導の導入	プログリットのような、毎日続ける伴走型の指導の導入。	続けて学び改善するしくみとして重要との認識。導入を議論。	検討中
14	交流会と信頼の定義	対面イベントをサービスに組み込む。	信頼とは、依頼に対して短時間で完成度の高い最初の回答を出せる力、と定義。	検討中
15	入校基準（職歴での判定）	年齢でなく、これまでの職歴（コンサル経験の有無など）で判断する。	職歴を照らし合わせる方針。具体的な基準は宿題。	宿題
