pjX｜エンジニア教育カリキュラム　全体像	
	
観点	内容
事業の狙い	今のプログラミングスクールはAI時代に追いつけていない、という問題への答え。コードを書くだけでなく、顧客のはっきりしない要望を聞き取って言葉にし、技術的な解決策にまとめる段階（要件定義の前の工程＝上流工程）まで関われるエンジニアを育てる。
参照したモデルと注意点	もとにした考えは、米Palantir社のFDE（顧客先に入り込んで課題解決まで行うエンジニア）。ただし、資金力のある会社の真似をフリーランス市場でそのままやると値下げ競争に巻き込まれる、という指摘があった。そのため職種名（FDE）にはこだわらず、コンサルの力を育てることに集中する。呼び名はまだ決めていない。
仕事の流れ／キャリアの道のり	スクールで学ぶ → フリーランスとして案件に入る → 信頼を得て単価を上げる → 上流工程に深く関わる → PM（プロジェクト責任者）を目指す。この流れに沿って、必要な力の比重が変わる（最初は技術寄り、中盤はビジネス寄り、最後はビジネスが技術を上回る）。
卒業時の到達目標	卒業時点でPMまで完成させるのではなく、「現場に出せる状態（報酬をもらって案件で働け、上流工程に最初の一歩を踏み出せるエンジニア）」で送り出す。その先は実務の中で伸ばす。最終的な到達水準（ベイカレント級のITコンサル）は、PMになる手前に置くイメージ。
採用の条件（最低ライン）	①コミュニケーションがしっかり取れる　②前職の経験がある　③年齢40歳以下。※求人で年齢制限を明記するのは原則禁止（労働施策総合推進法）なので、外に出す表現は法務の確認が必要。社内の選考基準として使う想定。
入口の考え方	入学時点で厳しくふるい落とすより、教育の中で必要な力を身につけてもらう。年齢そのものより、これまでの職歴（コンサル経験など）を見て判断する。
対象に含めること	関係者（特に意思決定者）の把握、ビジネスのやり取り（メール・マナー・議事録）、日本語の文法、顧客の業界・業務の理解、顧客の理念や目指す姿・組織の目標の理解、関係者の合意づくり。
対象に含めないこと	戦略コンサルで使う分析の枠組み（3C・4Pなど）、組織づくり、マーケティング、純粋な戦略コンサル。
身につける力の全体構成	ビジネス系（L0〜L5と心構えの階層）／エンジニア系（技術）／AIの使いこなしと仕事の進め方、の3つのジャンルで整理。詳しくは「4_学習項目」タブを参照。
L0を全員共通のスタートに	ふだんの会話はできても、仕事で必要な「正確に伝わる日本語」の水準には届いていない、という前提を全員に置く。会話の日本語と、仕事で使う日本語は別物。前職や肩書きを理由に、L0（基礎の日本語力）を飛ばさせない。
　└ ここから決まること	①L0は全員が最初に学ぶ必修単元（経歴を理由に免除しない）　②L0は「〜できる」という、外から判定できる形で定義する（測れる・教えられる・診断できる）　③入学時のテストは、ふるい落とすためではなく、一人ひとりがどこから始まるか（どれくらい差があるか）を測るためのもの　④受講者のタイプが違っても、L0は全員が同じスタート地点。コースを分けるとしてもL0より先で分ける。
コースの決め方	学習時間を項目ごとに積み上げて、コースの中身を決める。必要時間＝一人ひとりの今の実力から卒業条件までの差を、項目ごとに足し合わせた合計。卒業条件（ゴール）は固定で、変わるのはスタート地点（受講者のタイプ）。
卒業後と収益のしくみ	育てて終わりにせず、自社で開拓した案件に送り出す（仕事を確保しておく）。交流会などの対面イベントもサービスに含める。プログリットのような、毎日続ける伴走型の指導。他校との違いは、AI時代に合った育成だという価値を、はっきり言葉にして示すこと。
